role,provider_code,provider_name,specialty_code,specialty_name,period_date,pct_within_18wk
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-02,0.9117483811285847
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-03,0.9201775766016713
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-04,0.9029978254116185
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-05,0.957174767003004
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-06,0.923541627336228
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-07,0.9171631385473444
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-08,0.896223609872138
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-09,0.9276845408650566
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-10,0.9322555812163202
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-11,0.9159497021839841
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2025-12,0.9418229196170622
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2026-01,0.9020902795588612
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2026-02,0.9243146982128092
hovers near the threshold,NMG,CONNECT HEALTH LIMITED,X06,Other - Other Services,2026-03,0.9219120804610691
