provider_code,specialty_code,n_obs,rho
RTE,C_502,24,0.7662357286238647
RHM,C_100,24,0.7663083551735543
RVJ,C_400,24,0.7665227395574703
NVC02,C_502,24,0.7666338297963938
NT242,C_130,24,0.7669215906329339
RMC,C_430,24,0.7671082719507746
RFS,C_502,24,0.7675324692574006
RFS,X02,24,0.7679036352907119
RXQ,C_301,24,0.7681514378048214
NVC17,C_100,24,0.7687380423288797
NT416,C_110,24,0.7687833214419035
NVC22,C_101,24,0.7688302133883177
B3M1X,C_120,24,0.769123730267521
RP5,X06,19,0.7691492671625769
NT350,C_160,24,0.769298655572737
RTF,C_502,24,0.7693979499359838
RPC,X06,24,0.769400675048917
RGT,C_300,24,0.7694051033558068
NVC20,C_101,24,0.7694456470070824
RNS,X04,24,0.7700669736675133
RKE,C_430,24,0.7700740503773177
F7F6D,C_130,13,0.7700878900225933
NVC15,C_301,24,0.7701256425423848
NT210,C_110,24,0.7701912996501143
RYR,C_170,24,0.7702038032961982
RWA,C_150,24,0.770668035713959
REF,X05,24,0.7707509122518975
REF,C_330,24,0.7708133560194744
RLQ,C_300,24,0.7708577651821013
NT242,C_110,24,0.7711109270105582
RJ2,C_301,24,0.7711119647726798
RQ3,C_502,24,0.7714203332031003
RJZ,C_140,24,0.7714252685339422
NT441,C_502,24,0.771600217431354
RDE,C_320,24,0.771670407391431
R0A,C_400,24,0.7716787756141844
RRF,X05,24,0.771876797537518
RAS,C_320,24,0.7719076482104179
RXF,C_130,24,0.7721005838468488
RJ2,C_110,24,0.7721665233033095
REM,C_100,24,0.7721678392678675
RWA,C_160,24,0.7722769902139877
RBL,C_330,24,0.772302100747177
RGP,C_300,24,0.7726354652402487
RXP,C_320,24,0.7727222218281754
RPA,X06,24,0.7729441101739432
RA7,X04,24,0.7729759602054986
RJ7,C_160,24,0.7729801689927936
NT490,C_110,24,0.7731375322595883
RCB,C_300,19,0.7732035516370024
RQM,X04,24,0.7734399304398178
NT455,X06,24,0.7734740299103922
RXW,C_170,24,0.7737355212051641
NVC11,C_502,24,0.7738001439870538
RBL,C_140,24,0.773844060173752
RP7,X03,23,0.773923518970293
RNS,X05,24,0.7739257842677771
NT226,C_160,24,0.7742734732317169
RJL,C_300,24,0.7743142592063208
RWY,C_130,24,0.774426176452599
RJL,C_110,24,0.7744930733952757
RDE,C_502,24,0.7748545251297336
NT440,C_110,24,0.7753129642688535
NT347,X05,24,0.7756168834374495
RVJ,X02,24,0.7757343494466021
RH5,C_120,24,0.7758968692467756
R1H,C_110,24,0.7759137539297365
NT435,C_110,24,0.7759811371980974
NT416,C_101,18,0.7760606391854553
RCD,C_130,24,0.7760983689623282
RXL,C_110,24,0.7761055705609475
NPG13,C_130,24,0.7761391927685009
NVC19,C_130,24,0.7761906794499501
R0F4N,C_120,22,0.7763617599895879
RJL,X05,24,0.7765299226700362
NVC05,X02,24,0.7765405355042284
RP4,X03,24,0.7767272287004563
NT316,C_100,24,0.7768027783909838
RHW,C_130,24,0.7769940056069065
RJN,C_120,24,0.7771429388308102
NT345,C_100,24,0.7771552211726872
RTP,C_101,24,0.7774455717535268
RWE,C_140,24,0.7774924688350839
NVC40,X02,24,0.7774951960179696
R1F,C_110,24,0.7778672861452409
RWY,C_330,24,0.7779922437170833
RVR,C_502,24,0.7780436352847522
NVC31,C_100,24,0.7780516021618066
NVC12,C_301,24,0.7784577711424437
RJ6,C_160,24,0.7785054749764129
RXP,C_110,24,0.7786887387233637
RWY,C_502,24,0.7789876295487844
RGN,C_330,24,0.7791190062450907
RNS,C_101,24,0.7793022992554893
NT321,C_502,24,0.7793246405243214
RCD,C_100,24,0.7793703394234234
RVR,C_110,24,0.779510571479529
NT403,C_101,24,0.7796539489190433
RHU,C_130,24,0.7797787684552282
RYR,X05,24,0.7798080214733962
B3M1X,C_101,24,0.7798926612062653
R1K,C_410,24,0.7799319754391778
RHU,C_320,24,0.7799563029195132
NVC27,C_502,24,0.7801555261892001
RJ6,C_301,24,0.7801816418614348
RKB,C_300,24,0.7803513408007385
RBT,X06,24,0.7807732199612163
NVC05,C_502,24,0.7808303146229698
NT437,X06,24,0.7809902614766994
RWE,X04,24,0.781003143967619
NVC20,C_120,24,0.7810959763788273
RAN,C_101,24,0.7811244384402769
NVC31,C_110,24,0.7812963103585536
RRV,C_320,24,0.7813050713728117
RR8,C_330,24,0.7814176458107825
NVC15,C_101,24,0.7817843037183628
RTH,X04,24,0.7820714484018481
R0B,C_410,24,0.782109467948769
I2C7H,C_130,24,0.7821723505885789
RAL,C_130,24,0.7822277347161227
RAJ,X02,24,0.7822540658307096
RAL,C_410,24,0.7822584540257248
RKE,C_160,24,0.7823507207737431
RNZ,C_301,24,0.7824822720482554
RNQ,C_130,24,0.7825763807459131
NT364,C_110,24,0.7825955073534108
RVJ,C_301,24,0.7829558957864325
RGR,C_160,24,0.7829751564878984
RYR,X02,24,0.7830137466797094
RXN,C_100,24,0.7832109749029507
RDR,C_110,24,0.7834090015942266
RX1,C_300,24,0.7834301275154938
RHQ,X05,15,0.7837691600425272
RWH,C_400,24,0.7838697000532017
NT325,X05,24,0.7841824341414295
NT314,C_110,24,0.784467456784182
RRK,C_430,24,0.7845611807625283
RDE,C_160,24,0.7845796389568668
RQW,X05,24,0.7846942268073451
B3M1X,C_110,24,0.7847599541177981
RVV,X04,24,0.784893214078256
RTK,C_400,24,0.7850094018400879
NVC07,C_130,24,0.7850785429260599
RAL,C_320,24,0.785560971336934
RKB,C_110,24,0.7856077189144258
RJ6,C_320,24,0.785943197681932
AY1,C_410,23,0.7861563584535308
REM,C_340,24,0.7862804252956423
RA2,C_410,24,0.7864267414834982
RQM,C_110,24,0.7865643440867404
RBT,C_101,24,0.7865644342618144
NFH,C_160,24,0.7865851249688846
RTR,C_120,24,0.7869019865295619
RJE,C_130,24,0.7870008228683008
REM,C_320,24,0.7870793375313827
NVC05,C_120,24,0.7871453741899089
RRF,C_430,24,0.7873587359332846
RH5,C_101,24,0.7875602566574813
RHQ,X02,15,0.7876401450214242
NVM,C_130,24,0.7876919582306321
NTX,C_101,14,0.7878081603873339
RBD,C_101,24,0.7882088900805118
RGN,C_340,24,0.7882879356925041
RWD,C_430,24,0.7884164467193627
NTE02,C_101,24,0.7886396026640963
RBL,X06,24,0.789030357366185
RCX,C_502,24,0.7892192012405221
RTK,C_170,24,0.7897395599581708
RJZ,X06,24,0.789749872796409
RM3,C_300,24,0.7899451452879866
NVC08,C_301,19,0.790158626367511
NPG01,C_130,24,0.7904505443391563
NT423,C_502,24,0.7904774435706133
RNN,C_100,24,0.7905635790058653
AAV,C_130,24,0.7906291560750928
RAS,C_120,24,0.7906345915988833
RR8,C_140,24,0.7907045867687159
RHW,C_320,24,0.7907358717768699
NVC20,C_502,24,0.7908001063511729
Z9Z1G,C_130,24,0.7908564645020162
RTP,C_120,24,0.790912737931542
NT348,C_502,24,0.7909195741644512
NVC17,X02,24,0.7910080821554777
RVR,C_410,24,0.7911296918229097
RTX,C_100,24,0.791305571674432
RJE,X06,24,0.7913378589108616
RHQ,C_410,15,0.7913549271455278
RNS,C_320,24,0.7915580360472461
RJ6,C_340,24,0.7917100415698191
RJE,C_101,24,0.7918069935090266
NT219,C_100,24,0.7918449980034243
RVV,C_100,24,0.7920562627698234
A4M8P,C_100,24,0.7922153959917664
RCB,C_110,24,0.792224121156662
NWF01,C_120,24,0.7922312250359882
NT451,C_110,24,0.7922381989778473
RCX,C_140,24,0.7922915812626027
RHU,X04,24,0.7925530663728508
NT206,C_100,24,0.7931642549139605
RCX,C_300,24,0.7934581165608154
RN7,X02,24,0.7935317974540337
RF4,C_130,23,0.7935977139303261
R1H,C_120,24,0.7936683640785025
RHM,C_120,24,0.7941243877219816
RBK,C_400,24,0.7944742747021744
REM,C_140,24,0.7945402460247809
RD8,X04,22,0.7946176991609388
RM3,C_101,24,0.7948682591668658
NT319,C_110,24,0.7949827097659986
NT229,C_110,24,0.7949855250617085
H4I8B,X05,24,0.7950137238847227
RYJ,C_101,24,0.7950454468196371
RJ6,C_330,24,0.7951414937223816
RA7,C_410,24,0.7952146204060336
RFF,C_100,24,0.7952160711777169
NVC22,C_120,24,0.7953162650207853
NVC18,C_502,24,0.795521656541903
RTR,C_100,24,0.7955479920199837
NT314,C_150,24,0.7957280968550265
RH5,C_170,24,0.7958972073100715
RWF,C_100,24,0.7959845811139551
RQX,C_130,18,0.7961585914461238
NVC17,C_110,24,0.7962012961987829
RTX,C_130,24,0.7964774412418003
RJN,X04,24,0.7965462871947342
NYR,C_410,24,0.796588346963101
RBN,C_101,24,0.7966191284371266
RAS,C_301,24,0.796778805574985
NVC20,C_160,24,0.79679046796117
NTX,C_110,24,0.7968500953261389
RVR,C_340,24,0.7968968138450814
RXK,X02,24,0.7971812966430102
RJR,C_502,24,0.7973717052530938
RBL,C_101,24,0.7974215716572046
RTR,C_340,24,0.797522547213549
RBT,C_430,24,0.7975915781700336
RXF,X05,24,0.797614151906728
NT406,C_101,24,0.7976405142890527
RWP,X05,24,0.797778171652168
NYR,C_330,24,0.7978870028084324
RGT,C_340,24,0.7979590255193542
RXN,C_301,24,0.7979614771144542
RGP,X04,24,0.7980994340399862
RN5,C_410,24,0.7981522135459471
RD8,C_110,24,0.7982690363900983
RAS,X06,24,0.7984067774490058
NVC31,C_130,24,0.7984372303586031
RXK,C_170,24,0.7984457463828855
NNE,C_410,24,0.798697155608345
RXR,C_330,24,0.7987009098177205
RWA,C_100,24,0.7987824867388721
RFF,C_330,24,0.7988667735894327
RWY,C_320,24,0.7989096995417889
NT430,C_100,24,0.7989099363578736
RJ7,C_110,24,0.7990833981874006
RTX,X06,24,0.7991436632533785
RWJ,X06,24,0.799514007179214
RTE,C_330,24,0.7996232461461991
RWD,C_400,24,0.799685350401464
RH8,C_160,24,0.7997099263372724
A4M8P,X02,24,0.7997111500929233
RH5,C_160,24,0.7997481112095046
RA7,C_430,24,0.7997917865079263
NVC29,C_100,24,0.7999202398363269
NVC12,C_130,24,0.8000859324786631
NT457,C_120,24,0.8001139897158352
NT402,C_110,24,0.8001238386469454
NTPH1,C_100,24,0.8002007494491492
RJE,C_110,24,0.8002503535280295
RP5,C_301,24,0.8003096737074155
RMC,C_160,24,0.800382102610761
RA7,X06,24,0.8004159662635758
RPA,C_301,24,0.8005904437340773
REF,C_301,24,0.800719707171731
RA7,C_502,24,0.8007910323899332
NVC0I,C_101,24,0.8011210515933954
RKE,C_300,18,0.8011519871698184
RGN,X03,24,0.8011991294584911
NT406,C_301,24,0.801386673098161
RKB,C_340,24,0.8014459182462994
NT412,C_110,24,0.801452726029057
RA7,C_301,24,0.8016916545424984
NT457,C_101,24,0.8018764627637198
R0D,X06,24,0.8018889962250224
RTF,C_320,24,0.8021375682223828
RAJ,C_140,24,0.8021575621624211
NT424,C_110,24,0.8021867031963418
NVC19,C_101,24,0.8023227257169386
RL4,C_300,23,0.8024627008956584
NT337,C_160,13,0.8027077395071719
R1F,C_120,24,0.802796398604254
RAE,C_410,24,0.8028050137764015
RJE,C_160,24,0.8028715893451442
NT324,C_110,24,0.8029461616133364
NT404,X06,24,0.8032867520255988
RQM,C_160,24,0.8033119273040713
RHU,X06,24,0.803547419063215
RTH,C_100,24,0.8035536881717067
RR7,C_110,24,0.8037836094616534
NT337,C_101,24,0.803985490095227
RR8,X02,24,0.8040495288865889
RGR,C_130,24,0.8041586888923671
RGT,C_430,24,0.8041680681837996
RWD,C_502,24,0.8042660405152051
RL1,C_300,24,0.8043517802312541
RJ1,C_320,24,0.8044225265915075
RXL,X04,24,0.8044948838860627
RGR,X05,24,0.8049095270801043
NT490,C_100,24,0.8054581860785293
RFR,X05,24,0.8055296411820884
H4I8B,C_110,24,0.8056577802928124
NVC11,X02,24,0.8062035553475353
NTPH3,C_130,24,0.8062953430650821
RLT,X04,24,0.8066801693297171
RXL,C_410,24,0.8067291695111342
NT312,C_110,24,0.8067636248454252
RRF,C_410,24,0.8070046346070859
RAE,C_330,24,0.8072234558246957
RAX,C_301,24,0.8073986494729406
NT317,C_110,24,0.8074444840876569
RWY,X02,24,0.8074918576255334
Y9S1N,C_100,12,0.8075410075263433
NT348,C_110,24,0.8075939819351003
RR8,C_120,24,0.8076149197994131
RLT,C_101,24,0.8076315835763396
RXL,C_130,24,0.8077849853840965
RDE,C_100,24,0.8080994540733233
RPA,C_410,24,0.8082190266947467
RWA,X04,24,0.8083928906978922
G3Z1Q,C_101,24,0.8086325213479282
NT418,C_100,24,0.8089790238127467
RQX,C_120,24,0.8090928893678592
F9Z4V,C_110,24,0.8091051800728604
RGN,C_502,24,0.8095239569194491
RM3,C_120,24,0.80964284126763
RD1,C_340,24,0.8097035715584273
RJZ,C_320,24,0.8099394456535853
RMP,C_110,24,0.8100624957819547
RAJ,X05,24,0.8100995415945047
NWF01,C_301,24,0.8102030392656306
RD1,C_110,24,0.8102191475321133
RR7,C_320,24,0.8103528444842371
RFS,C_101,24,0.8103978946532913
RTG,C_340,24,0.8104883461548145
NT421,C_100,24,0.8105195747379601
RP5,C_101,24,0.8108879208273226
DX1,C_100,24,0.8109185145600568
RHU,C_502,24,0.8109489691545693
RVW,C_301,24,0.8109791976985028
RCF,C_140,24,0.8110821150390342
RDU,C_330,24,0.811359478779601
G3Q3Z,C_110,24,0.8115005861995602
RGN,C_140,24,0.8122206377501583
RWH,C_502,24,0.8122251944001702
NT441,X06,24,0.8122597355828797
RVR,C_130,24,0.8123299003388667
RTR,X04,24,0.812362374081144
RWF,C_320,24,0.812509182668524
RWH,C_120,24,0.8125382848436989
RNZ,C_330,24,0.8125871623888528
NT321,C_100,24,0.8126082891085006
S3H9L,C_120,19,0.8127805472649912
RTP,C_100,24,0.8128115155070343
RK9,C_400,24,0.8130476343599937
NT343,C_110,24,0.8130544567695873
RBT,X02,24,0.8131515978068088
RBK,X06,24,0.8134643615427075
RYJ,C_120,24,0.8134962889303362
RD1,X06,24,0.813585146664349
NVC19,C_502,24,0.8137103400612794
RWW,C_110,24,0.81381732295829
RNS,C_502,24,0.8139224001156458
RPA,X02,24,0.8140082926927542
NN4,C_100,24,0.8141266034321634
RH8,X05,24,0.8143233751899732
NT241,X02,20,0.814540115814602
NEY,C_502,24,0.8145885997520522
NT416,C_502,24,0.8147509085020773
RGR,X04,24,0.8150221239508753
NT212,C_110,24,0.8151498234888631
RNA,C_160,24,0.8153145225166228
R1K,C_502,24,0.8155224122827146
RVV,C_430,24,0.8157450600615239
RVW,C_320,24,0.8158002061322905
RVR,C_320,24,0.8158587101831231
RYR,C_502,24,0.8158846066780265
RNA,C_130,24,0.8159098318060214
RJL,C_140,24,0.8161641978327094
RTR,C_160,24,0.8162702624598265
RJ7,X04,24,0.8162879330619812
ACG37,C_130,24,0.8163558400532318
NT436,C_301,24,0.8163986353160683
NT450,C_100,24,0.8165553752697777
NPG23,C_130,24,0.8165927090121309
RTK,C_330,24,0.8168590156806614
R0B,C_400,24,0.8168924946364572
RXQ,X06,24,0.8168952240467129
G3Z1Q,C_301,24,0.8169613336756287
NT416,C_100,24,0.8171456570205814
RWE,C_120,24,0.8171905166759256
NT224,C_100,24,0.8174827424427707
RVR,C_330,24,0.8180534620278254
RF4,X05,23,0.8180750849924584
NVC20,C_100,24,0.8181302543806993
RPA,C_340,24,0.8182255255391899
RJC,C_140,24,0.8182767737997381
NT345,C_101,24,0.8185474457839509
NTPH1,C_120,24,0.8185728611448315
NTPAD,C_120,24,0.8186695139818106
NL3,C_320,24,0.8187073852564689
R1K,C_120,24,0.8188002634563589
RTH,C_502,24,0.8188230908764665
G3Z1Q,C_110,24,0.8191717330263742
G3Q3Z,C_160,24,0.8195358838094883
RQM,X02,24,0.8195805502850148
RYR,X06,24,0.8200532093093588
RL4,C_502,24,0.8202399584052564
RWE,C_170,24,0.8203953276936369
RJN,X05,24,0.8206230424922861
RQW,C_110,24,0.8206259139803989
RR8,C_502,24,0.8207640403633282
RCF,C_130,24,0.8209602123040683
RVV,C_410,24,0.8211186272960956
RAS,X05,24,0.821430611829235
NT427,C_110,24,0.8215808435156435
NNE,X02,24,0.8216703273414809
DFQ,C_110,24,0.8218194398185283
NT421,C_110,24,0.8220976455503901
RTD,X02,24,0.822261159093431
RAL,C_340,24,0.8224174433843914
NVC06,C_100,24,0.822460427645498
NTE02,C_130,24,0.8224700629439242
RP5,C_140,24,0.8225272732341318
RDU,C_100,24,0.8226010740091181
RHQ,C_110,15,0.822683513012519
RTF,C_110,24,0.8234345769064798
RLQ,C_330,24,0.8234486146233825
RCF,C_301,24,0.8234900512928311
RWF,C_101,24,0.8236317594872128
NT408,C_110,24,0.8236536854893383
RM1,X05,24,0.8238204906539377
RXN,C_300,24,0.8240707092066417
RQW,X04,24,0.824543352849875
RXQ,C_110,24,0.8245765716338719
RTH,C_140,24,0.8246381036927397
RRK,C_410,24,0.8246864767541202
NTPH3,C_140,24,0.8248363121669531
RRV,X06,24,0.8248558136884232
NWF01,C_110,24,0.8249570837267095
RTX,X02,24,0.8252792204987772
RDE,X06,24,0.8254935877656365
RXL,C_160,24,0.8255162971139248
RA2,X06,24,0.825617465628734
RTK,X04,24,0.8257824351107383
RXR,X06,24,0.8260097321845651
RRV,X04,24,0.8260103376584301
RDE,C_340,24,0.8260105699295135
RTH,C_400,24,0.8260155534719736
RJE,C_170,24,0.8260315614962648
RH8,C_300,24,0.8261732906043391
RWP,C_300,24,0.8263485809783888
RAJ,C_301,24,0.8265492478229597
NVC29,C_160,24,0.8265696041349312
RXP,C_300,24,0.826663690677598
DXV,C_330,24,0.827148489334991
RJ2,C_400,24,0.8272945507857238
RL4,X04,24,0.8273847192049459
NVM,C_301,24,0.8274903960387184
RDE,C_330,24,0.8275486629567332
RR8,C_340,24,0.8275552404482253
RTG,X05,24,0.827568260206613
L6O7H,C_130,24,0.8276329747205313
RNN,C_120,24,0.8278349190549501
NT430,C_110,24,0.8279333196780535
RCF,C_502,24,0.8280013645110653
RKB,C_170,24,0.828036562954045
NT457,C_502,24,0.8281359265231598
RBT,C_330,24,0.8282351104164556
RJZ,C_110,24,0.8282355217733336
RNA,C_110,24,0.8283211043939309
NT427,C_502,24,0.8284905549153941
RX1,C_400,24,0.828561765396775
NN4,X06,17,0.8288949178652582
NT428,C_110,24,0.8289840591642996
RCB,C_410,24,0.8290354694075185
NVC0R,C_100,24,0.8291676312048457
R0F4N,C_160,24,0.8293843934250453
RXR,C_340,24,0.8295343751928959
RXC,C_140,24,0.8295975356005226
RAS,C_430,24,0.8297803202315626
NVC16,C_120,24,0.8300495320745959
RA7,C_340,24,0.8301334676513056
RVJ,C_150,24,0.8302369024330427
RHW,C_502,24,0.8302585928546682
RQX,C_320,24,0.8303950859015718
RNN,C_502,24,0.830484852679671
RJL,C_340,24,0.8305122965195254
R1A,C_110,24,0.8305629197291746
NT404,C_100,24,0.8306255307763939
RAJ,C_150,24,0.8306262656549155
RYR,C_130,24,0.8309956323106543
NTPH5,C_301,24,0.8310436920839814
RGR,X06,24,0.8310442146177348
RLT,C_130,24,0.8311090960241017
RNA,C_400,24,0.8311585166581188
RWD,C_330,24,0.8311877069756385
NTPH1,C_301,24,0.8311962510097702
RCD,C_410,24,0.8312266174837779
RGR,C_120,24,0.8312968249837215
RJC,X05,24,0.8315526956634964
RX1,C_100,24,0.8317788149395011
RGN,C_160,24,0.8318959720195108
RNN,X02,24,0.8319455990038914
NTP13,C_110,24,0.8321968346776227
RWG,C_100,24,0.8323539029944901
H1T2P,C_130,18,0.8325231672432046
RCX,X02,24,0.8326042539549614
RJ6,C_100,24,0.8326207196613328
NT219,C_110,24,0.8327453022280603
RJN,C_340,24,0.8328017308998122
V4U1Y,C_130,24,0.8329025073048918
RRV,C_410,24,0.8329310216543807
RW1,C_110,24,0.8329321617054305
RMP,C_301,24,0.8330393091247192
NTP11,C_140,24,0.8330591697716716
NVC0I,C_100,24,0.833094958853469
R0B,C_320,24,0.8331038645903566
NT402,C_130,24,0.8333879088006713
RLT,C_320,24,0.8335125379405757
RQM,X06,24,0.8335787352685408
RX1,C_410,24,0.833779019090952
RPA,C_400,24,0.8337798008376945
O6X7Z,C_130,14,0.8338306249583268
RAE,C_101,24,0.8339317423426542
RX1,C_340,24,0.8339454892775993
RJ6,C_120,24,0.8339942761424946
NT319,C_100,24,0.8341986470028051
RVJ,C_340,24,0.8342139769633283
RWJ,C_120,24,0.8342515583340738
RTX,C_101,24,0.8342927215899275
RH5,X06,24,0.8343190952735375
R1H,C_100,24,0.834322804390575
NT333,C_160,15,0.8343792913988091
RCB,X02,24,0.8346136931771656
RBL,C_410,24,0.8346719415352177
RD8,X06,24,0.8347205052888959
RXW,C_300,24,0.8347639965834999
R1D,C_120,24,0.8349518134469306
RET,X03,24,0.8350322174462809
NT410,C_301,24,0.8350488301732093
RYR,C_400,24,0.8350953563769034
RJ2,C_320,24,0.8351952117334147
RWW,C_100,24,0.8352208769353401
RK9,C_410,24,0.8355380229875742
NAM01,C_130,24,0.8357026431742819
RCB,C_301,24,0.8357224975549418
RJN,C_110,24,0.8357821461678764
NT441,C_150,24,0.8357998462739068
RNS,C_140,24,0.8359698580131436
RK9,X02,24,0.8359998794036775
RTH,X05,24,0.8361414235462337
NVC06,X02,24,0.8363924545015121
NT422,C_301,24,0.8365612302321674
NT206,C_110,24,0.8366914607224885
RWE,C_320,24,0.8369656513496218
RD1,C_430,24,0.837067654187184
H4I8B,C_120,24,0.837104286076676
R1H,C_340,24,0.8371690680872416
RNZ,X02,24,0.8372147634785626
RWD,C_301,24,0.8372359109210042
A1U4J,C_130,20,0.8372484804221152
RJR,C_160,24,0.8372916714971128
RK9,C_101,24,0.837317273402621
NT423,C_110,24,0.8373950456932061
RWW,X05,24,0.837445438093657
RXN,X02,24,0.8375942538187624
RK5,C_100,24,0.8376894896461806
RVR,C_301,24,0.8383190210117869
RRV,C_400,24,0.8383239568970671
RTR,C_400,24,0.8384667906752596
RAS,C_100,24,0.8385741622303193
RFS,C_140,24,0.8386278599006052
RK9,C_330,24,0.8390095441375052
RN7,C_430,24,0.8390228860553365
RAL,C_330,24,0.8391333072727376
RXP,C_340,24,0.839163405937692
RAX,C_330,24,0.8391932471294616
RTG,X04,24,0.8393185131488543
RVR,C_120,24,0.839360619550788
RF4,C_120,23,0.8393894894625676
NVC0Y,C_101,24,0.8395777341378657
RA9,C_410,24,0.8396592463745681
RVV,X05,24,0.840210237301897
RN7,X04,24,0.8402716087991984
RAS,X02,24,0.8403728979231173
NT447,C_101,24,0.8404079448489207
RTE,X02,24,0.8404539773530272
RFR,X04,24,0.8405037515152465
RH8,C_130,24,0.8405068554321129
RMP,X04,24,0.840608999405529
J2H6H,C_130,24,0.8407196735277985
RNS,C_340,24,0.8408141844336334
RTH,C_120,24,0.8408721661316674
RJL,C_400,14,0.8411175394499144
RGR,X03,20,0.841148785369719
RN5,C_300,24,0.8414097493881488
RJ6,C_110,24,0.8416614395847353
NT404,C_502,24,0.841667971728412
RDU,C_160,24,0.8417661882121411
NN8,C_100,24,0.8417694839638759
RX1,C_320,24,0.8418853409230733
RYJ,C_160,24,0.841989834968866
N6Z0R,C_130,24,0.8420876731748199
RN3,C_120,24,0.8422170245195113
RTX,C_301,24,0.8422390729400734
RQX,C_502,24,0.8423339530669595
RGR,C_301,24,0.8425382635144038
RGM,C_320,24,0.8426467874905853
NT327,C_100,24,0.8430517635806584
RJZ,X05,24,0.8432385842396211
RD1,C_130,24,0.8433421585214169
RN5,C_101,24,0.8435883918473048
RBN,C_130,24,0.8437320694887135
NN4,C_110,24,0.8437925223870462
R0D,C_120,24,0.8439151082139139
NT408,C_100,24,0.8441624368975078
RFR,C_101,24,0.8443575522824375
RXL,C_120,24,0.8443673635726171
RHW,C_301,24,0.8444476628704698
RTX,C_120,24,0.8446463530983526
REM,X06,24,0.8447042416592067
RM1,C_400,24,0.8448684715227344
NTE02,C_301,24,0.8449754067192992
RDU,C_140,24,0.8450917751003534
RAL,C_502,24,0.8451228731452664
RN7,C_320,24,0.8451754764558045
RM3,C_140,24,0.8452259908823544
RDR,C_410,22,0.8452894617568762
NT441,C_110,24,0.845430851846586
NT301,C_110,24,0.8454347783788588
RGP,C_101,24,0.8454697233328525
NT225,C_100,20,0.8455565311717677
RQX,C_160,24,0.845677633657061
NT431,C_100,24,0.8458332665547914
R0D,C_330,24,0.8460824193899185
RH8,C_320,24,0.8461942915745619
NTPH3,C_120,24,0.8462184082932371
RTD,X05,24,0.8463697606704531
RRK,C_100,24,0.8464398375382957
RBL,C_340,24,0.8466776353955212
M5E1S,C_130,24,0.8467441505968201
NT212,C_100,24,0.8469272593347602
RFR,C_330,24,0.8470138085000878
RM3,C_320,24,0.8471445223818689
NVC20,C_110,24,0.8473842535370679
RTK,C_301,24,0.8473991610123726
RQM,C_410,24,0.8477166957239739
REF,C_101,24,0.8477625566476064
RHM,C_101,24,0.8477769239975304
RRK,C_150,24,0.847857959725634
RAS,C_330,24,0.848104107946745
RF4,C_110,23,0.8483542520231186
RFF,C_502,24,0.848393800708106
RQW,C_400,24,0.8484824252727027
NT302,C_110,24,0.8486946038379899
NPG06,C_130,24,0.8487387866889383
RRK,C_130,24,0.8489318073793507
RHU,C_100,24,0.8490768217459693
RJL,C_100,24,0.8490888591728292
RWH,C_160,24,0.8492223385181167
RA7,C_130,24,0.8492982166293431
NVC22,C_301,24,0.8493081010353158
RQW,C_300,15,0.8493211466084839
RVR,X02,24,0.8495617954424922
RTP,C_301,24,0.8495880213182317
RAN,X04,24,0.8496291166658335
RWW,C_301,24,0.8500632357598813
RN3,C_430,24,0.8500935267595757
RTG,C_170,24,0.8503173358894536
RCF,X02,24,0.8503376814566372
RFF,X06,24,0.8503488211273522
RR8,C_320,24,0.8504867321941582
NT447,C_100,24,0.8505379335658841
RBL,C_110,24,0.8506469617317021
RWW,X06,24,0.8508466313251125
RF4,C_100,23,0.8508923805819989
NVC11,C_101,24,0.8509114080174324
R1H,X05,24,0.8509432893317802
RXQ,X05,24,0.8510416662649939
RRF,C_100,24,0.851072887154355
RJC,C_410,24,0.8510744166157672
NVC20,X02,24,0.8512756171113527
RWJ,C_502,24,0.8512790683134654
RTK,C_130,24,0.8515426863234306
RFR,C_110,24,0.8516201835466385
RWE,C_160,24,0.8517803088708183
NVC09,X06,13,0.8518485849857756
RBN,X05,24,0.851919719617111
RVJ,X05,24,0.8519547285601144
RDE,C_130,24,0.8520503921982668
RXK,C_160,24,0.8523109790281531
NVC08,C_100,24,0.8523241527739296
RAJ,C_120,24,0.8523936870626136
RFR,C_340,24,0.8524518292620699
RNS,C_410,24,0.85250880947211
RJL,X02,24,0.8526804216300448
RWA,C_340,24,0.8528022437355907
RBD,X06,19,0.852823345031653
RXP,C_502,24,0.8528346091858913
RWF,C_120,24,0.8528614247534064
RN3,C_130,24,0.8530687172885274
NVC16,C_100,24,0.8530818579245405
R0B,C_340,24,0.8533103565432821
RWP,C_301,24,0.8534554868854899
NTP16,C_301,24,0.8536303716830566
RAL,C_400,24,0.8536912462185592
NT209,C_301,20,0.8537136263826279
RRV,C_502,24,0.8537957996105834
RVJ,C_430,24,0.8538000855830898
R1F,X05,24,0.8538919891379558
RNS,C_300,24,0.8538972209791111
K8I4X,C_130,24,0.854061691242049
RHM,C_410,24,0.8541238234518373
ACG40,C_130,24,0.8541537155724623
RTH,C_320,24,0.8543558806412994
RWJ,X02,24,0.8543996340449546
RTK,C_430,24,0.8544579861141433
RMC,C_130,24,0.8547255683241797
NT436,X06,24,0.8548040834457301
RC9,C_140,24,0.8549814802106218
RNS,X02,24,0.855042667788599
RWG,C_140,24,0.8551290326144425
Y9S1N,C_101,12,0.8551640274232795
A0C5S,C_130,24,0.8554955775461628
RGT,X06,24,0.8555993701567582
RJ1,C_340,24,0.8556193549303064
