provider_code,specialty_code,n_obs,rho
REM,X04,24,0.46785598843705734
RD8,C_100,24,0.4680232754540457
RAN,C_301,24,0.46814643418704815
RH8,C_400,24,0.46815808440476714
DX1,C_110,24,0.4695885735657677
NN8,C_120,24,0.46966708128523765
ACG36,C_130,24,0.47014062928943845
RR8,C_300,23,0.47056374499913783
RXC,C_100,24,0.47060074326866896
DFQ,C_160,24,0.4707359863055799
RPY,X02,24,0.47117192150187365
NT446,C_101,24,0.47125885201457096
NT225,C_120,20,0.4717924094256962
RD8,C_430,24,0.47473161990293317
RKE,C_400,24,0.4760330365065123
NVC01,C_110,24,0.47744376777442543
RA9,C_300,24,0.47804180884692365
RW4,X03,24,0.47807226406230063
RBV,X05,24,0.4786731298416082
NT325,C_101,24,0.47911215620254205
RJL,C_160,17,0.4804835924006909
RLT,C_430,24,0.48050565585181076
NT211,C_100,12,0.48092102112311397
R1K,C_300,24,0.4810653263222623
M0N7E,C_130,24,0.4814703454065946
NT490,C_330,19,0.4817606347335142
RA2,C_160,24,0.4821615942964541
NT348,X05,24,0.4837410282768208
RWF,C_430,24,0.48387659880923994
RHW,C_410,24,0.4841514816242763
NMG,X06,24,0.4857584040534052
NT457,C_150,12,0.48648648648648646
NT235,C_130,24,0.48668746252922507
NT451,X06,24,0.4884331179782039
NT339,C_100,24,0.48988606854831024
RD8,C_330,24,0.48995199058554484
NT30A,C_100,24,0.4913751600232724
RFR,C_140,24,0.49207802965420844
RJZ,C_160,24,0.4934592513902548
RNA,X05,24,0.4937485524984667
RKE,C_120,24,0.4943689894204662
RAX,X06,24,0.4959032090044974
RTE,C_410,24,0.4983565587346799
RTH,X03,20,0.4993090801450784
AAH,C_120,22,0.5002206468771302
NVC19,C_120,24,0.5003468698615776
RMP,C_170,21,0.5009339942658864
REM,C_101,24,0.5010615054316273
NT233,C_101,23,0.5014900238704025
NDJ,C_110,23,0.5019832072543552
NT427,C_301,24,0.50201088917311
RWH,C_300,24,0.5020739021782927
RHU,C_110,24,0.502161028650698
R0D,X05,24,0.5022113636204305
NT412,C_320,15,0.5027725178273199
NTPH3,C_101,24,0.5036704176733903
RJE,C_320,24,0.5042724646091671
NVC13,X02,24,0.5051539617932795
RQW,C_120,24,0.5055371256210348
NT421,C_301,24,0.5060010793545648
NT433,C_100,24,0.5064367199369931
NTE02,X02,21,0.5064542289406383
NT405,C_110,24,0.5067565859539808
RXK,C_120,24,0.5069598854185419
RBD,C_340,24,0.5069635751865572
RBL,C_430,24,0.5090306962984059
NT364,X05,23,0.5093513631831115
RJZ,C_410,24,0.5093712652741589
NT437,C_100,24,0.509549888231234
RGN,C_300,24,0.5104883388894006
RQW,C_430,24,0.5109062611091901
NT457,C_100,24,0.5113243114844568
NT451,C_120,16,0.5115143452368306
RCX,C_330,24,0.5125660636360218
RAX,C_300,24,0.5128071386205858
RM1,C_430,24,0.5155889749405901
RHW,X04,24,0.5172753023462935
RH5,C_110,24,0.5181996416960881
RMP,C_430,24,0.5182066424018564
RGP,C_430,24,0.5185362282761524
NT229,C_160,24,0.5185618440223754
RBL,X05,24,0.5190969136518576
NT337,X05,24,0.519475117731999
NVG01,C_301,12,0.5218818501552912
NT347,C_101,24,0.5219434145007203
NRP,C_301,24,0.5220321623043738
RRJ,X02,24,0.5221065679043146
NT347,C_110,24,0.5226474068622747
RAJ,C_100,24,0.5232896659173029
RTD,C_150,24,0.5233682935957356
RJR,C_300,24,0.5235320347948114
NT408,C_301,18,0.5242495337423386
RFS,X04,24,0.5250097829984686
RTD,C_100,24,0.5251860850357303
NWV01,C_101,24,0.5254764705222454
NT301,C_301,24,0.527076821386572
RJN,C_300,24,0.5271439719114048
G3Q3Z,C_120,24,0.5272669264862768
R1F,X03,16,0.5272679205169543
RJ7,C_430,24,0.5276873731177224
RXC,C_320,24,0.5277204382610216
RJ7,C_300,24,0.5292019278936437
RF4,C_430,23,0.5297407647594689
NPG08,C_130,24,0.5299682726264158
RNQ,C_110,24,0.5305130872978222
AAH,C_130,24,0.5317487677416033
Y9S1N,C_301,12,0.5318223819879045
RHQ,X06,15,0.5324934142710861
NEY,X02,20,0.5337535302287121
R0B,X06,24,0.5345886565728297
RW1,C_120,24,0.5346451964936724
RJ8,C_110,23,0.5349908759850491
RHM,C_150,24,0.5359008117095855
RH8,C_170,18,0.5363636363636365
NVC0I,C_502,24,0.536790578847406
NT211,C_110,24,0.5370996444833067
RW1,C_410,24,0.5372881359020096
NVC0Y,C_160,24,0.5374752946614672
NVC27,C_301,24,0.5379066663368612
NT446,C_100,24,0.5387709002684801
RHM,C_300,24,0.538954411317771
RNN,C_340,24,0.5391843947956074
NT435,C_101,23,0.5395584799778961
R1G7E,C_130,24,0.5397940748576305
NT405,C_100,24,0.5404169765808645
RYR,C_100,24,0.5409237331361835
RY6,C_502,13,0.5414010047225987
NVC40,X06,12,0.5416666666666666
RHW,C_110,24,0.541918436037794
NT403,C_100,24,0.5419472004845449
NN4,C_502,24,0.5420568069067132
NTP13,C_100,24,0.542503090139539
RDE,X04,24,0.5428431618299078
NVC44,C_130,24,0.5435034791550107
NT218,C_110,19,0.5450036397486179
RTX,C_170,24,0.5451804665774994
RM3,C_330,24,0.5453255646290276
RNA,C_320,24,0.5481791693413054
RGR,C_400,24,0.5485378028204261
RTK,C_120,24,0.5488915569503016
RPC,X05,16,0.5493187055088459
NT312,C_100,24,0.5494875140081048
RTP,C_430,24,0.5500416635530642
AY1,X02,23,0.5505097556466148
NT421,X06,19,0.5508163964175316
RMC,C_300,24,0.5510161725794043
RCB,C_100,24,0.5514315344275121
NT216,C_502,17,0.5519156396271565
NVC17,C_502,24,0.5529716544233771
RBD,C_430,24,0.5531347607786936
NTPAE,C_130,24,0.5531483536346479
NT347,C_502,24,0.5537320656133181
NRP,C_120,24,0.5541003769072279
RYR,C_150,24,0.5541673839174515
RPG,X06,24,0.5542533849890504
RNA,X04,24,0.5550955064501722
NVC19,C_100,24,0.5552977460249034
NT409,C_120,24,0.5553228355771059
RJL,C_330,13,0.5555555555555556
RRE,X02,24,0.5557690819972487
RW1,C_340,24,0.5563423973698353
K8I4X,C_502,22,0.5564688834267522
RPA,C_110,24,0.5565795401720679
RFR,C_100,24,0.5566223845526449
NVC05,X06,15,0.5566385108826474
M7C9Q,C_130,24,0.556807205344405
REF,X06,24,0.5580348210520631
RJC,X04,24,0.5583504699403513
K8I4X,X06,21,0.5586096995246449
RQW,C_410,24,0.5588154552868676
RXC,C_430,24,0.558841067661921
RAX,X05,24,0.5588952146163038
RVV,C_140,24,0.5602858014121992
RTG,C_400,24,0.5609137156838776
NTPH3,C_100,24,0.5612785562433117
NT216,C_100,19,0.5622686048045441
NT457,X06,24,0.5625330475270461
RCD,C_140,24,0.562569094640344
NT3X3,C_120,24,0.562851813203034
R0D,C_340,24,0.5630124024643391
F9Z4V,X06,24,0.5632380693488573
RH5,X05,24,0.5636615368169313
NT443,C_100,24,0.5638416532732623
NT455,C_101,24,0.5641684606811724
RJ1,X03,24,0.5643755309661731
RCB,C_430,24,0.5651580288621889
NT237,C_130,24,0.5656044192721869
RL4,C_430,24,0.5656355738467365
NT205,C_130,13,0.5659375988991516
R0B,C_100,24,0.567318607414101
AY1,C_100,15,0.5674743611589371
H4I8B,C_410,24,0.5680215076606049
NT437,C_301,24,0.5681516731901269
RCF,C_340,24,0.5682219400617127
NT406,X06,24,0.5686209201869504
NT347,C_120,24,0.569048897248038
