provider_code,specialty_code,n_points,lag1_autocorrelation
NT215,C_320,24,0.8837675886075835
NT216,C_100,19,0.5622686048045441
NT216,C_101,19,-0.013718628485045873
NT216,C_110,19,0.6790696344590146
NT216,C_120,19,0.8735763161959067
NT216,C_502,17,0.5519156396271565
NT216,X02,19,0.36998240597011933
NT216,X06,15,0.22133290481282106
NT218,C_100,23,0.8696149380963255
NT218,C_110,19,0.5450036397486179
NT218,C_130,15,0.25723549680119107
NT219,C_100,24,0.7918449980034243
NT219,C_110,24,0.8327453022280603
NT224,C_100,24,0.8174827424427707
NT224,C_101,14,0.7094047336347415
NT224,C_110,24,0.741326624063198
NT224,X06,13,-0.009345794392523372
NT225,C_100,20,0.8455565311717677
NT225,C_110,20,0.8805529899416161
NT225,C_120,20,0.4717924094256962
NT225,C_150,19,-0.039741355366145856
NT225,C_160,17,0.9032765683294176
NT225,C_502,14,0.9366265039406716
NT225,X02,20,0.6162657149761
NT226,C_100,15,0.6651336398655194
NT226,C_110,24,0.6744032712167689
NT226,C_160,24,0.7742734732317169
NT229,C_100,15,0.9350839643913069
NT229,C_110,24,0.7949855250617085
NT229,C_160,24,0.5185618440223754
NT230,C_100,24,0.6496894173157094
NT230,C_110,24,0.6837940626350464
NT230,C_130,14,0.9548164748147814
NT233,C_100,24,0.38524257303317994
NT233,C_101,23,0.5014900238704025
NT233,C_110,24,0.7077271607621312
NT233,C_150,24,0.8879634139033928
NT233,C_160,24,0.35570624804476114
NT233,C_301,24,0.5847694263612087
NT233,X06,24,0.5850784571867396
NT235,C_110,24,0.9199676124183623
NT235,C_130,24,0.48668746252922507
NT237,C_100,24,0.6624281624972018
NT237,C_110,24,0.6216619350161575
NT237,C_130,24,0.5656044192721869
NT238,C_110,24,0.9461285977973943
NT239,C_100,24,0.3715009941582538
NT239,C_101,23,0.7337822988178169
NT239,C_110,24,0.6034591454769053
NT239,C_120,23,0.327081424408662
NT239,C_400,15,0.42044594195136714
NT241,C_100,24,0.7542887321259889
NT241,C_101,24,0.7045978520205639
NT241,C_110,24,0.6518614774625349
NT241,C_502,24,0.8922413035344133
NT241,X02,20,0.814540115814602
NT242,C_100,24,0.6576700055039769
NT242,C_110,24,0.7711109270105582
NT242,C_130,24,0.7669215906329339
NT244,C_110,12,0.9138898713419206
NT245,C_110,24,0.8840546066576561
NT301,C_100,24,0.9227136047985337
NT301,C_101,21,0.7567397859536416
NT301,C_110,24,0.8454347783788588
NT301,C_301,24,0.527076821386572
NT302,C_100,16,0.572311421986213
NT302,C_110,24,0.8486946038379899
NT304,C_100,16,0.5791792484511579
NT304,C_110,24,0.9124694452852042
NT305,C_110,24,0.7442837757051901
NT308,C_100,24,0.6479296776402536
NT308,C_110,24,0.6215947777922547
NT308,X05,24,0.7092331833943385
NT30A,C_100,24,0.4913751600232724
NT30A,C_101,24,0.5703584937022879
NT30A,C_110,24,0.7491909542245012
NT312,C_100,24,0.5494875140081048
NT312,C_110,24,0.8067636248454252
NT312,C_160,14,0.6455614759251181
NT312,C_502,24,0.1449533267985893
NT312,X05,24,0.8714674672877031
NT313,C_100,24,0.7249744137164441
NT313,C_110,24,0.8908389928001937
NT313,C_160,23,0.9066894375110187
NT313,X05,24,0.7166963124435951
NT314,C_100,24,0.6450301984347102
NT314,C_110,24,0.784467456784182
NT314,C_150,24,0.7957280968550265
NT314,C_160,16,0.8866924905825739
NT314,C_502,16,0.9374243261693536
NT314,X05,24,0.9079195795591745
NT315,C_100,24,0.7176968491032351
NT315,C_110,24,0.7125830909403099
NT315,C_120,24,-0.01758367447254572
NT315,X05,21,-0.05263157894736843
NT316,C_100,24,0.7768027783909838
NT316,C_110,24,0.878557551043639
NT316,C_120,24,0.0632626131047498
NT317,C_100,24,0.6047953500382905
NT317,C_110,24,0.8074444840876569
NT317,C_150,24,0.11214863625256534
NT318,C_110,24,0.4452272024920154
NT319,C_100,24,0.8341986470028051
NT319,C_110,24,0.7949827097659986
NT320,C_100,24,0.5872331949307353
NT320,C_110,24,0.9268887802798159
NT320,C_502,24,0.7624832657181073
NT320,X05,13,0.6126968640000439
NT321,C_100,24,0.8126082891085006
NT321,C_110,24,0.5950657269732263
NT321,C_502,24,0.7793246405243214
NT321,X05,21,-0.052631578947368425
NT322,C_100,23,-0.07092704960085716
NT322,C_110,24,0.598353596209417
NT324,C_100,24,0.3747527261131745
NT324,C_101,24,0.12818755617799105
NT324,C_110,24,0.8029461616133364
NT324,C_120,24,0.6522422250516958
NT324,C_160,24,0.615442676464005
NT324,C_301,19,0.14046869190792727
NT325,C_100,24,0.735854382190963
NT325,C_101,24,0.47911215620254205
NT325,C_110,24,0.5752201064770839
NT325,X05,24,0.7841824341414295
NT327,C_100,24,0.8430517635806584
NT327,C_110,24,0.9849053893043973
NT327,X05,24,0.4068492956154119
NT332,C_100,24,0.012902034071719411
NT332,C_110,24,0.6936377624242465
NT332,C_160,23,0.6229631646292036
NT333,C_100,24,0.6629522010166997
NT333,C_110,24,0.5858015859511956
NT333,C_150,24,0.605906457493701
NT333,C_160,15,0.8343792913988091
NT333,X05,18,0.4154834248415118
NT337,C_100,24,0.5889643236767264
NT337,C_101,24,0.803985490095227
NT337,C_110,24,0.9289009851183823
NT337,C_120,24,0.9312864226637402
NT337,C_160,13,0.8027077395071719
NT337,C_301,24,0.3465985212287277
NT337,X05,24,0.519475117731999
NT339,C_100,24,0.48988606854831024
NT339,C_101,24,-0.11340254602579491
NT339,C_110,24,0.7549248690339501
NT339,C_120,24,0.9713233499720204
NT339,C_150,23,0.25940855699462434
NT339,X05,24,-0.07077166339665404
NT343,C_100,24,0.689347867658315
NT343,C_110,24,0.8130544567695873
NT343,X05,20,0.3566018798441338
NT344,C_100,24,0.9109537033685245
NT344,C_110,24,0.8717868189137021
NT344,X05,24,0.3459586822693392
NT345,C_100,24,0.7771552211726872
NT345,C_101,24,0.8185474457839509
NT345,C_110,24,0.8940547933853744
NT345,C_120,24,0.6235840747759865
NT345,X05,24,0.7242569856288313
NT347,C_100,24,0.7463826021846592
NT347,C_101,24,0.5219434145007203
NT347,C_110,24,0.5226474068622747
NT347,C_120,24,0.569048897248038
NT347,C_150,24,0.3509035867422432
NT347,C_301,24,0.7360304051087313
NT347,C_320,12,-0.3423326133909287
NT347,C_400,20,0.3476167695203426
NT347,C_502,24,0.5537320656133181
NT347,X05,24,0.7756168834374495
NT348,C_100,24,0.8676298700973102
NT348,C_101,24,0.7074239532458981
NT348,C_110,24,0.8075939819351003
NT348,C_502,24,0.7909195741644512
NT348,X05,24,0.4837410282768208
NT350,C_100,24,0.6486898576748015
NT350,C_101,24,0.7589938854292911
NT350,C_110,24,0.6226377426970624
NT350,C_150,24,0.6594964915094544
NT350,C_160,24,0.769298655572737
NT350,X05,16,0.42307692307692335
NT351,C_100,24,0.7248471934267938
NT351,C_101,24,0.9080859295997854
NT351,C_110,24,0.9108070287088649
NT351,C_120,24,0.8914057371672978
NT351,C_150,24,0.8909335612370065
NT351,C_160,13,-0.18522100358265375
NT351,C_320,24,0.8970462083538364
NT351,C_330,24,0.9379426101891346
NT351,C_400,24,0.7247127082735332
NT351,C_502,21,-0.11642106920645849
NT351,X05,24,0.8928184513527435
NT364,C_100,24,0.437993020780103
NT364,C_110,24,0.7825955073534108
NT364,C_150,12,0.9323919984157296
NT364,X05,23,0.5093513631831115
NT3X3,C_100,24,0.7122073035009658
NT3X3,C_101,18,0.7072272432024594
NT3X3,C_110,24,-0.07396074441481634
NT3X3,C_120,24,0.562851813203034
